feature,ks_statistic,wasserstein_dist,ks_p_value
f170,0.1628799999999999,0.1605103033685684,0.0
f308,0.14142,0.1197818285751342,0.0
f150,0.0903799999999999,0.2627378445959091,0.0
f211,0.08048,0.2622979434597492,0.0
f623,0.0773399999999999,0.2482357450163363,0.0
f986,0.07406,0.2303446707332134,0.0
f12,0.0713599999999999,0.2513794302344322,0.0
f327,0.0713599999999999,0.2686289723277091,0.0
f551,0.0702599999999999,0.2892750806856155,0.0
f955,0.0694799999999999,0.2734791793751717,0.0
