rank,feature_index,feature_name,importance_score
201,30,feature_30,0.001330953
202,314,feature_314,0.0013257763
203,579,feature_579,0.001321123
204,311,feature_311,0.0013203509
205,91,feature_91,0.0013196227
206,9,feature_9,0.001315533
207,281,feature_281,0.0013148668
208,59,feature_59,0.0013132669
209,660,feature_660,0.00131174
210,593,feature_593,0.0013115137
211,981,feature_981,0.00130951
212,886,feature_886,0.0013081096
213,120,feature_120,0.0013079267
214,734,feature_734,0.0013072396
215,58,feature_58,0.0013053286
216,635,feature_635,0.0013047163
217,413,feature_413,0.0013033979
218,443,feature_443,0.00130159
219,39,feature_39,0.0013012192
220,735,feature_735,0.0013011777
221,1022,feature_1022,0.0012990113
222,820,feature_820,0.001295862
223,759,feature_759,0.0012947626
224,518,feature_518,0.0012940831
225,65,feature_65,0.001293713
226,898,feature_898,0.0012929057
227,830,feature_830,0.0012917703
228,77,feature_77,0.0012876302
229,384,feature_384,0.0012861759
230,753,feature_753,0.0012857273
231,66,feature_66,0.0012856539
232,630,feature_630,0.001285456
233,219,feature_219,0.0012841575
234,1000,feature_1000,0.0012839675
235,861,feature_861,0.0012808646
236,95,feature_95,0.0012807503
237,626,feature_626,0.0012799876
238,506,feature_506,0.0012796385
239,27,feature_27,0.0012786443
240,752,feature_752,0.001276408
241,671,feature_671,0.001275626
242,339,feature_339,0.0012724851
243,837,feature_837,0.0012703483
244,756,feature_756,0.0012689703
245,595,feature_595,0.0012685428
246,899,feature_899,0.0012672009
247,310,feature_310,0.0012670616
248,275,feature_275,0.0012669683
249,246,feature_246,0.0012665007
250,367,feature_367,0.0012640264
251,960,feature_960,0.0012631612
252,863,feature_863,0.0012615694
253,68,feature_68,0.0012569696
254,590,feature_590,0.0012524547
255,460,feature_460,0.0012486491
256,123,feature_123,0.0012481598
257,901,feature_901,0.0012469398
258,985,feature_985,0.0012427334
259,865,feature_865,0.001240282
260,333,feature_333,0.0012399985
261,878,feature_878,0.0012375743
262,111,feature_111,0.0012372758
263,457,feature_457,0.0012370351
264,949,feature_949,0.0012344365
265,638,feature_638,0.001228945
266,937,feature_937,0.0012261969
267,324,feature_324,0.0012251271
268,1019,feature_1019,0.001224391
269,16,feature_16,0.0012228971
270,337,feature_337,0.0012196471
271,819,feature_819,0.0012192421
272,204,feature_204,0.0012168459
273,603,feature_603,0.0012134031
274,340,feature_340,0.0012124828
275,256,feature_256,0.0012118674
276,203,feature_203,0.0012099849
277,907,feature_907,0.0012094219
278,722,feature_722,0.001208738
279,831,feature_831,0.0012084869
280,239,feature_239,0.0012064818
281,28,feature_28,0.0012054489
282,283,feature_283,0.0012025633
283,330,feature_330,0.001200985
284,999,feature_999,0.0011973492
285,658,feature_658,0.0011966235
286,832,feature_832,0.0011954235
287,995,feature_995,0.0011952408
288,453,feature_453,0.0011946115
289,298,feature_298,0.0011934281
290,160,feature_160,0.0011916924
291,760,feature_760,0.0011876882
292,876,feature_876,0.0011867976
293,841,feature_841,0.0011844265
294,998,feature_998,0.0011840068
295,99,feature_99,0.0011837104
296,655,feature_655,0.0011829966
297,929,feature_929,0.0011816494
298,893,feature_893,0.0011795717
299,817,feature_817,0.0011790183
300,438,feature_438,0.001172621
301,679,feature_679,0.0011706607
302,481,feature_481,0.0011698476
303,917,feature_917,0.0011674064
304,986,feature_986,0.0011671593
305,948,feature_948,0.0011671553
306,519,feature_519,0.0011667816
307,327,feature_327,0.0011645998
308,674,feature_674,0.0011642971
309,57,feature_57,0.0011590067
310,216,feature_216,0.0011582214
311,855,feature_855,0.001158175
312,10,feature_10,0.0011580497
313,533,feature_533,0.001157577
314,700,feature_700,0.0011568028
315,448,feature_448,0.0011562112
316,486,feature_486,0.0011556172
317,200,feature_200,0.001154496
318,640,feature_640,0.0011531851
319,822,feature_822,0.0011488578
320,45,feature_45,0.0011474343
321,980,feature_980,0.0011434013
322,755,feature_755,0.0011419302
323,302,feature_302,0.0011387672
324,75,feature_75,0.0011362849
325,954,feature_954,0.001135662
326,244,feature_244,0.0011346752
327,254,feature_254,0.0011322156
328,884,feature_884,0.0011317632
329,135,feature_135,0.0011303053
330,797,feature_797,0.0011295526
331,223,feature_223,0.0011292206
332,870,feature_870,0.0011276598
333,5,feature_5,0.0011273022
334,992,feature_992,0.0011262642
335,1016,feature_1016,0.0011248693
336,769,feature_769,0.0011214617
337,285,feature_285,0.0011210047
338,1013,feature_1013,0.0011195833
339,69,feature_69,0.0011173507
340,892,feature_892,0.0011162268
341,176,feature_176,0.001115805
342,703,feature_703,0.001115161
343,289,feature_289,0.001114674
344,405,feature_405,0.0011145835
345,207,feature_207,0.0011115147
346,196,feature_196,0.0011108797
347,543,feature_543,0.0011104586
348,271,feature_271,0.0011036962
349,472,feature_472,0.0011014212
350,495,feature_495,0.0011002265
351,456,feature_456,0.001099744
352,238,feature_238,0.0010987795
353,125,feature_125,0.0010968866
354,667,feature_667,0.001096133
355,266,feature_266,0.0010951215
356,461,feature_461,0.0010945135
357,545,feature_545,0.0010931742
358,277,feature_277,0.0010914451
359,1015,feature_1015,0.0010904822
360,249,feature_249,0.001088915
361,765,feature_765,0.0010886451
362,670,feature_670,0.0010844608
363,695,feature_695,0.0010840626
364,424,feature_424,0.0010838234
365,625,feature_625,0.0010817023
366,531,feature_531,0.0010805501
367,555,feature_555,0.0010795417
368,318,feature_318,0.0010787556
369,601,feature_601,0.0010782862
370,171,feature_171,0.0010778685
371,524,feature_524,0.001076648
372,652,feature_652,0.0010760702
373,169,feature_169,0.0010753506
374,582,feature_582,0.0010746218
375,791,feature_791,0.0010735751
376,56,feature_56,0.0010720422
377,370,feature_370,0.0010698148
378,301,feature_301,0.0010691395
379,35,feature_35,0.0010683917
380,583,feature_583,0.0010670263
381,149,feature_149,0.0010634372
382,930,feature_930,0.0010573141
383,869,feature_869,0.0010553334
384,541,feature_541,0.0010552872
385,139,feature_139,0.0010548807
386,881,feature_881,0.0010531963
387,218,feature_218,0.001051301
388,838,feature_838,0.0010496838
389,341,feature_341,0.0010489437
390,605,feature_605,0.0010482948
391,581,feature_581,0.0010470663
392,877,feature_877,0.0010456874
393,1017,feature_1017,0.0010445507
394,900,feature_900,0.0010429787
395,144,feature_144,0.0010418018
396,972,feature_972,0.0010417567
397,945,feature_945,0.001040367
398,732,feature_732,0.0010378839
399,338,feature_338,0.0010373814
400,140,feature_140,0.0010327379
401,502,feature_502,0.0010324512
402,918,feature_918,0.0010324469
403,213,feature_213,0.0010259409
404,558,feature_558,0.0010251558
405,226,feature_226,0.0010220895
406,906,feature_906,0.0010195733
407,794,feature_794,0.0010194125
408,146,feature_146,0.0010190428
409,158,feature_158,0.0010178661
410,288,feature_288,0.0010175323
411,14,feature_14,0.0010170296
412,129,feature_129,0.0010161161
413,408,feature_408,0.0010147478
414,908,feature_908,0.0010134514
415,328,feature_328,0.0010131666
416,334,feature_334,0.0010110455
417,575,feature_575,0.0010094586
418,538,feature_538,0.0010087747
419,1004,feature_1004,0.0010059207
420,175,feature_175,0.0010050894
421,636,feature_636,0.0010050848
422,61,feature_61,0.0010042614
423,23,feature_23,0.0010025438
424,292,feature_292,0.0010014784
425,515,feature_515,0.0010014046
426,685,feature_685,0.0009984352
427,417,feature_417,0.0009982672
428,580,feature_580,0.0009971914
429,770,feature_770,0.0009965701
430,209,feature_209,0.000994259
431,72,feature_72,0.0009936152
432,132,feature_132,0.0009908044
433,115,feature_115,0.0009882177
434,694,feature_694,0.0009858458
435,762,feature_762,0.0009856587
436,629,feature_629,0.0009811744
437,576,feature_576,0.0009805508
438,528,feature_528,0.0009800487
439,566,feature_566,0.0009794867
440,768,feature_768,0.0009789894
441,852,feature_852,0.0009786673
442,850,feature_850,0.0009780099
443,479,feature_479,0.0009778701
444,97,feature_97,0.00097609655
445,194,feature_194,0.0009745993
446,114,feature_114,0.00097311573
447,609,feature_609,0.00097229105
448,128,feature_128,0.00097112637
449,1014,feature_1014,0.0009707518
450,646,feature_646,0.0009699522
451,449,feature_449,0.00096850656
452,645,feature_645,0.000968059
453,786,feature_786,0.0009671315
454,654,feature_654,0.0009663772
455,947,feature_947,0.00096180284
456,940,feature_940,0.00096111203
457,616,feature_616,0.00096102216
458,49,feature_49,0.0009598076
459,510,feature_510,0.0009561158
460,161,feature_161,0.0009539407
461,931,feature_931,0.00095285213
462,815,feature_815,0.00095218414
463,632,feature_632,0.0009520614
464,766,feature_766,0.00095173926
465,33,feature_33,0.0009506245
466,42,feature_42,0.00094895985
467,43,feature_43,0.00094779156
468,41,feature_41,0.0009460031
469,551,feature_551,0.0009429744
470,411,feature_411,0.00094153656
471,133,feature_133,0.00093840226
472,363,feature_363,0.0009373775
473,783,feature_783,0.0009370734
474,251,feature_251,0.0009361349
475,70,feature_70,0.00093300216
476,683,feature_683,0.00093156303
477,967,feature_967,0.00093074987
478,166,feature_166,0.0009289461
479,369,feature_369,0.0009289161
480,470,feature_470,0.0009272271
481,824,feature_824,0.00092599913
482,51,feature_51,0.0009248744
483,371,feature_371,0.0009238707
484,54,feature_54,0.0009230696
485,946,feature_946,0.0009215463
486,188,feature_188,0.00092075707
487,259,feature_259,0.0009205967
488,642,feature_642,0.0009188987
489,255,feature_255,0.00091712235
490,422,feature_422,0.0009168979
491,447,feature_447,0.0009164176
492,556,feature_556,0.0009155028
493,342,feature_342,0.00091407105
494,458,feature_458,0.00091246585
495,719,feature_719,0.00091241446
496,597,feature_597,0.00091214204
497,113,feature_113,0.0009113272
498,644,feature_644,0.0009111669
499,677,feature_677,0.00090924976
500,650,feature_650,0.00090899464
501,89,feature_89,0.00090894196
502,730,feature_730,0.00090557436
503,773,feature_773,0.00090509135
504,492,feature_492,0.0009026788
505,560,feature_560,0.00090164883
506,608,feature_608,0.0009004854
507,258,feature_258,0.00089940237
508,516,feature_516,0.00089850044
509,781,feature_781,0.00089223345
510,1001,feature_1001,0.00088858465
511,278,feature_278,0.00088776415
512,214,feature_214,0.0008875918
513,896,feature_896,0.0008844769
514,480,feature_480,0.0008834166
515,795,feature_795,0.00088140316
516,953,feature_953,0.00088075094
517,107,feature_107,0.000880703
518,360,feature_360,0.00087996735
519,31,feature_31,0.00087838364
520,767,feature_767,0.00087716256
521,821,feature_821,0.0008753771
522,317,feature_317,0.0008745779
523,984,feature_984,0.0008743962
524,539,feature_539,0.0008705262
525,440,feature_440,0.0008691359
526,225,feature_225,0.00086902984
527,672,feature_672,0.0008688242
528,622,feature_622,0.000868578
529,517,feature_517,0.00086791767
530,87,feature_87,0.0008677386
531,615,feature_615,0.0008665655
532,988,feature_988,0.0008656662
533,536,feature_536,0.0008654858
534,319,feature_319,0.0008653273
535,253,feature_253,0.00086440594
536,74,feature_74,0.00086336397
537,993,feature_993,0.00086329365
538,184,feature_184,0.0008617805
539,915,feature_915,0.00086041127
540,623,feature_623,0.00085845904
541,148,feature_148,0.0008584301
542,388,feature_388,0.0008575835
543,101,feature_101,0.00085730065
544,467,feature_467,0.00085701304
545,482,feature_482,0.0008564587
546,26,feature_26,0.00085641025
547,562,feature_562,0.0008562439
548,620,feature_620,0.0008545474
549,224,feature_224,0.0008540691
550,933,feature_933,0.0008532567
551,507,feature_507,0.0008527752
552,707,feature_707,0.000852589
553,350,feature_350,0.0008522489
554,242,feature_242,0.00085023796
555,617,feature_617,0.0008492215
556,549,feature_549,0.0008491281
557,883,feature_883,0.0008488732
558,950,feature_950,0.00084851886
559,397,feature_397,0.00084773684
560,88,feature_88,0.0008476638
561,323,feature_323,0.0008474801
562,34,feature_34,0.0008469147
563,406,feature_406,0.00084665
564,747,feature_747,0.0008460493
565,944,feature_944,0.00084450084
566,634,feature_634,0.00084314967
567,663,feature_663,0.0008429433
568,928,feature_928,0.000842291
569,24,feature_24,0.000841201
570,93,feature_93,0.0008403225
571,535,feature_535,0.0008396303
572,836,feature_836,0.00083942694
573,243,feature_243,0.0008390839
574,326,feature_326,0.00083708524
575,647,feature_647,0.0008364215
576,17,feature_17,0.00083406566
577,138,feature_138,0.000833838
578,22,feature_22,0.00083359476
579,383,feature_383,0.0008328617
580,12,feature_12,0.0008325571
581,353,feature_353,0.00083128794
582,444,feature_444,0.0008307122
583,962,feature_962,0.00083032943
584,909,feature_909,0.0008299069
585,230,feature_230,0.0008298175
586,163,feature_163,0.0008293478
587,236,feature_236,0.00082884455
588,98,feature_98,0.0008285052
589,100,feature_100,0.0008269354
590,29,feature_29,0.0008256812
591,757,feature_757,0.0008255298
592,274,feature_274,0.0008255104
593,241,feature_241,0.0008248629
594,958,feature_958,0.00082324113
595,206,feature_206,0.00082151755
596,688,feature_688,0.0008208415
597,971,feature_971,0.0008203624
598,439,feature_439,0.0008203082
599,291,feature_291,0.0008201316
600,6,feature_6,0.00082011934
601,903,feature_903,0.0008199192
602,956,feature_956,0.00081967306
603,152,feature_152,0.0008186872
604,1020,feature_1020,0.00081552874
605,882,feature_882,0.00081369205
606,1018,feature_1018,0.0008133458
607,976,feature_976,0.0008124043
608,103,feature_103,0.0008118365
609,498,feature_498,0.00081145734
610,423,feature_423,0.00080994755
611,191,feature_191,0.0008087274
612,938,feature_938,0.0008080588
613,641,feature_641,0.00080680614
614,469,feature_469,0.0008062036
615,941,feature_941,0.0008059829
616,801,feature_801,0.0008056294
617,248,feature_248,0.00080364395
618,364,feature_364,0.00080091855
619,468,feature_468,0.00080014055
620,172,feature_172,0.0008000561
621,997,feature_997,0.0007992545
622,534,feature_534,0.0007983654
623,606,feature_606,0.000797819
624,348,feature_348,0.00079759036
625,63,feature_63,0.000797326
626,628,feature_628,0.0007971349
627,487,feature_487,0.0007970364
628,895,feature_895,0.0007964445
629,471,feature_471,0.0007959834
630,925,feature_925,0.00079329463
631,136,feature_136,0.0007923715
632,325,feature_325,0.0007913512
633,344,feature_344,0.00079041184
634,15,feature_15,0.0007879417
635,155,feature_155,0.00078562513
636,2,feature_2,0.00078555004
637,991,feature_991,0.0007854977
638,803,feature_803,0.0007846295
639,936,feature_936,0.0007817485
640,307,feature_307,0.00078019203
641,919,feature_919,0.0007800578
642,542,feature_542,0.0007799708
643,847,feature_847,0.00077765057
644,963,feature_963,0.0007772038
645,527,feature_527,0.00077634363
646,826,feature_826,0.0007744128
647,332,feature_332,0.0007715971
648,320,feature_320,0.0007708997
649,44,feature_44,0.0007700224
650,657,feature_657,0.0007700034
651,106,feature_106,0.00076821755
652,109,feature_109,0.00076687796
653,894,feature_894,0.0007623368
654,55,feature_55,0.00075999845
655,779,feature_779,0.0007596834
656,799,feature_799,0.00075864425
657,416,feature_416,0.00075803447
658,711,feature_711,0.00075769477
659,927,feature_927,0.00075669156
660,789,feature_789,0.0007564038
661,52,feature_52,0.00075628376
662,284,feature_284,0.00075312593
663,990,feature_990,0.0007512816
664,690,feature_690,0.0007488048
665,957,feature_957,0.0007476495
666,40,feature_40,0.0007467406
667,966,feature_966,0.00074542034
668,921,feature_921,0.0007443695
669,807,feature_807,0.0007440538
670,187,feature_187,0.00074360234
671,303,feature_303,0.0007426566
