rank,feature_index,feature_name,importance_score
873,857,feature_857,0.00051009806
874,108,feature_108,0.00050944404
875,434,feature_434,0.0005094017
876,463,feature_463,0.0005077979
877,692,feature_692,0.0005077809
878,834,feature_834,0.00050723454
879,379,feature_379,0.0005063488
880,975,feature_975,0.0005063257
881,396,feature_396,0.00050396
882,490,feature_490,0.0005031609
883,923,feature_923,0.0005022346
884,864,feature_864,0.00050207326
885,401,feature_401,0.0005019959
886,80,feature_80,0.0005012441
887,382,feature_382,0.00049999537
888,227,feature_227,0.0004996504
889,965,feature_965,0.00049912155
890,522,feature_522,0.00049787416
891,1006,feature_1006,0.00049730524
892,858,feature_858,0.00049543986
893,118,feature_118,0.00049535756
894,494,feature_494,0.00049239397
895,400,feature_400,0.0004913753
896,598,feature_598,0.00048746532
897,604,feature_604,0.00048674693
898,485,feature_485,0.00048586808
899,1021,feature_1021,0.00048482738
900,715,feature_715,0.00048461262
901,818,feature_818,0.00048369833
902,889,feature_889,0.00048013116
903,796,feature_796,0.00047900103
904,228,feature_228,0.00047691845
905,939,feature_939,0.00047459555
906,806,feature_806,0.0004744878
907,193,feature_193,0.00047351856
908,891,feature_891,0.00047113668
909,105,feature_105,0.00047105964
910,201,feature_201,0.00047071802
911,706,feature_706,0.0004678163
912,596,feature_596,0.0004671893
913,681,feature_681,0.00046635227
914,235,feature_235,0.00046479295
915,586,feature_586,0.0004612272
916,229,feature_229,0.0004586711
917,500,feature_500,0.00045706093
918,591,feature_591,0.00045578394
919,1,feature_1,0.00045097884
920,689,feature_689,0.00044796267
921,578,feature_578,0.00044778036
922,46,feature_46,0.00044661708
923,978,feature_978,0.0004464296
924,220,feature_220,0.00044552647
925,860,feature_860,0.0004453761
926,164,feature_164,0.0004414406
927,856,feature_856,0.00043868175
928,989,feature_989,0.00043790392
929,553,feature_553,0.0004362847
930,18,feature_18,0.00043453116
931,212,feature_212,0.00043340432
932,872,feature_872,0.00042966852
933,394,feature_394,0.00042889378
934,76,feature_76,0.0004222388
935,240,feature_240,0.00042101755
936,419,feature_419,0.00042072922
937,354,feature_354,0.0004178605
938,521,feature_521,0.00041720632
939,554,feature_554,0.00041274252
940,585,feature_585,0.00041272893
941,347,feature_347,0.00041136306
942,879,feature_879,0.00041127123
943,312,feature_312,0.00041053168
944,435,feature_435,0.00040891248
945,183,feature_183,0.00040828256
946,377,feature_377,0.00040740048
947,143,feature_143,0.00040652268
948,165,feature_165,0.0004060655
949,476,feature_476,0.00040594707
950,20,feature_20,0.0004055913
951,459,feature_459,0.00040541994
952,564,feature_564,0.00040535524
953,180,feature_180,0.00040176447
954,395,feature_395,0.00040133105
955,260,feature_260,0.00039992342
956,627,feature_627,0.00039986978
957,454,feature_454,0.00039826578
958,926,feature_926,0.00039677226
959,82,feature_82,0.00039659574
960,3,feature_3,0.00039533735
961,704,feature_704,0.000395273
962,497,feature_497,0.00039287418
963,772,feature_772,0.00039256577
964,116,feature_116,0.0003913819
965,62,feature_62,0.00039060874
966,322,feature_322,0.00039021063
967,50,feature_50,0.00038892648
968,828,feature_828,0.00038854993
969,287,feature_287,0.00038783025
970,643,feature_643,0.00038656293
971,427,feature_427,0.0003790793
972,761,feature_761,0.00037694015
973,833,feature_833,0.00037660077
974,713,feature_713,0.0003753367
975,721,feature_721,0.00037448906
976,286,feature_286,0.0003730402
977,733,feature_733,0.00037008457
978,567,feature_567,0.00036751255
979,859,feature_859,0.00036739398
980,777,feature_777,0.00036691542
981,418,feature_418,0.00036551076
982,147,feature_147,0.00036489184
983,4,feature_4,0.0003647633
984,728,feature_728,0.00036454745
985,1007,feature_1007,0.000362229
986,450,feature_450,0.00035963202
987,48,feature_48,0.00035578653
988,637,feature_637,0.00035517054
989,437,feature_437,0.00035469703
990,181,feature_181,0.00035423198
991,563,feature_563,0.0003536916
992,221,feature_221,0.0003509925
993,296,feature_296,0.00034977772
994,684,feature_684,0.0003459229
995,845,feature_845,0.0003441844
996,754,feature_754,0.0003436233
997,611,feature_611,0.00034256888
998,804,feature_804,0.0003419398
999,85,feature_85,0.0003402968
1000,790,feature_790,0.00033949813
1001,336,feature_336,0.00033757227
1002,682,feature_682,0.00033696866
1003,509,feature_509,0.00033419012
1004,381,feature_381,0.00033277363
1005,639,feature_639,0.0003316564
1006,934,feature_934,0.00032644058
1007,592,feature_592,0.00032634454
1008,584,feature_584,0.00032564483
1009,1008,feature_1008,0.0003230434
1010,232,feature_232,0.00032250994
1011,665,feature_665,0.00032104127
1012,982,feature_982,0.0003121122
1013,633,feature_633,0.0003055369
1014,179,feature_179,0.00029503918
1015,784,feature_784,0.00029113278
1016,710,feature_710,0.00029025442
1017,621,feature_621,0.00028847315
1018,261,feature_261,0.0002882495
1019,430,feature_430,0.00028768068
1020,737,feature_737,0.00028140057
1021,124,feature_124,0.000279862
1022,316,feature_316,0.00025802554
1023,574,feature_574,0.00023556036
1024,36,feature_36,0.00020958329
