feature,ks_statistic,wasserstein_dist
f170,0.16287999999999997,0.16051030336856842
f308,0.14142,0.11978182857513427
f150,0.09037999999999996,0.26273784459590915
f211,0.08048,0.2622979434597492
f623,0.07733999999999996,0.24823574501633638
f986,0.07406000000000001,0.23034467073321344
f327,0.07135999999999998,0.26862897232770916
f12,0.07135999999999998,0.2513794302344322
f551,0.07025999999999999,0.2892750806856155
f955,0.06947999999999999,0.2734791793751717
f355,0.06766000000000005,0.2369336394965649
f19,0.06714000000000009,0.24667924464225766
f198,0.06644,0.24939589851260183
f35,0.06609999999999994,0.23153906942605973
f899,0.06567999999999996,0.23032211199641223
f1019,0.06547999999999998,0.22788115925312039
f430,0.06389999999999996,0.21482741735219948
f671,0.06385999999999997,0.23648405036091805
f120,0.06323999999999996,0.1967027990782261
f96,0.06290000000000001,0.24163169434666634
f554,0.06274000000000002,0.21596519252061847
f539,0.06178000000000006,0.1897061373221874
f871,0.06140000000000001,0.22173255655407909
f619,0.06104000000000004,0.17711884234070777
f733,0.06097999999999998,0.21205210816144945
f853,0.05990000000000001,0.2344140848755836
f615,0.05904000000000009,0.20479661488413808
f704,0.05888000000000004,0.18711860488891602
f504,0.05878,0.2109575438582897
f959,0.05843999999999999,0.19480034992337222
f360,0.05741999999999997,0.17068915706396107
f163,0.05691999999999997,0.21040870526194577
f218,0.05690000000000006,0.19598404649734494
f735,0.05686000000000002,0.15150695662856103
f199,0.05680000000000002,0.1991180707335472
f294,0.056599999999999984,0.22612899882435794
f766,0.05614000000000002,0.20135419230103485
f711,0.05589999999999995,0.17633063755154613
f54,0.05570000000000003,0.18750610875010487
f612,0.05522000000000002,0.17418026465415953
f219,0.05489999999999995,0.1920695363152027
f572,0.05476000000000003,0.18573968953490255
f568,0.05464000000000002,0.19320886055111886
f686,0.05451999999999996,0.20030170641422276
f244,0.054279999999999995,0.18234090130805963
f102,0.054159999999999986,0.19481204139709474
f822,0.054119999999999946,0.20656215514063836
f424,0.05385999999999996,0.14635245824098586
f131,0.05291999999999997,0.1726045116114617
f618,0.05288000000000004,0.2066780708742142
f385,0.052079999999999904,0.15693418873906134
f698,0.052000000000000046,0.17747222994804385
f866,0.05192000000000002,0.1730398152542115
f518,0.0519,0.18744479676961895
f803,0.05186000000000002,0.18250492584109304
f532,0.051559999999999995,0.18082957837343216
f126,0.0514,0.16467463025808332
f86,0.05138000000000009,0.16959377700567246
f573,0.05135999999999996,0.17038721705555915
f774,0.05135999999999996,0.15630292107582094
f208,0.05126000000000003,0.17054407518029213
f484,0.05077999999999999,0.15183058016061785
f720,0.05030000000000007,0.1685933920550346
f125,0.05014000000000002,0.17531017539024352
f680,0.05005999999999999,0.15380541944384574
f937,0.049679999999999946,0.18022913183450703
f639,0.04964000000000002,0.16419255327939986
f485,0.04964000000000002,0.17821760426878935
f276,0.04962,0.17339733353972434
f928,0.049500000000000044,0.1730118262922764
f590,0.04949999999999999,0.17141827700138088
f371,0.049439999999999984,0.20187031776309014
f395,0.049439999999999984,0.1684103694057465
f661,0.04930000000000001,0.18335597267508508
f384,0.04901999999999995,0.15477226102948186
f769,0.048799999999999955,0.16726742514848708
f275,0.048740000000000006,0.18685395323872567
f18,0.048719999999999986,0.17181483513712884
f409,0.048659999999999926,0.1687458579671383
f255,0.04857999999999996,0.15146151252269746
f734,0.04855999999999999,0.13821718030691146
f315,0.04844000000000004,0.17077505461335182
f111,0.048400000000000026,0.18054627472519874
f519,0.04832000000000003,0.16740061811327936
f142,0.04821999999999993,0.16675175157904626
f909,0.04808000000000001,0.14425799772977826
f151,0.04797999999999997,0.16136985478520388
f906,0.047940000000000094,0.17659442456483837
f456,0.04793999999999998,0.16391461391925813
f586,0.047819999999999974,0.14148587914347643
f425,0.047760000000000025,0.15324157075762745
f945,0.047719999999999985,0.1588208705461025
f499,0.04768,0.16112734763383874
f917,0.047619999999999996,0.15973738991618158
f274,0.04758000000000001,0.14034643015265463
f851,0.047240000000000004,0.15732560489058495
f234,0.04683999999999999,0.1370719089663029
f908,0.046619999999999995,0.17013613535046576
f758,0.046520000000000006,0.17420210615277287
f985,0.046499999999999986,0.1761669532096386
f571,0.046499999999999986,0.19656072868466373
f161,0.04624,0.10730440171241759
f868,0.04611999999999994,0.1377914363825321
f377,0.04605999999999999,0.17669519677042964
f389,0.04592000000000007,0.14761117760658263
f952,0.04583999999999999,0.17118284459948535
f423,0.04577999999999999,0.1661964265811443
f13,0.04567999999999994,0.11432816247820857
f1007,0.045599999999999974,0.15195375225663185
f100,0.045499999999999985,0.14033417126178746
f403,0.04536000000000007,0.1459495369529724
f805,0.04529999999999995,0.16711358562469486
f737,0.04501999999999995,0.11070557268261907
f183,0.04498000000000002,0.15778069373726847
f1010,0.044800000000000006,0.14602279908299448
f159,0.04412000000000005,0.1410904076004028
f911,0.044040000000000024,0.14498805403470993
f473,0.044020000000000004,0.14339428269028662
f904,0.04398000000000002,0.15367476478219033
f60,0.04393999999999998,0.13129732283830647
f683,0.04388000000000003,0.15167859593391422
f876,0.04333999999999996,0.1605683551263809
f981,0.043300000000000005,0.15432721599817276
f778,0.04305999999999999,0.14324817001104354
f818,0.04305999999999999,0.14345526586651802
f320,0.04303999999999997,0.11025024086952209
f136,0.04298000000000002,0.12406629459142682
f589,0.04283999999999999,0.13877171046495435
f259,0.042779999999999985,0.1393297434604168
f755,0.04271999999999998,0.12449671859264375
f30,0.04268000000000005,0.16443547940731046
f225,0.04258000000000001,0.14322689370870595
f863,0.04255999999999993,0.1255384329068661
f190,0.04251999999999989,0.1231004277062416
f980,0.04244000000000003,0.13746210570573805
f115,0.04236000000000001,0.12735797251820566
f331,0.04226000000000002,0.15786507378339767
f789,0.04224,0.16219912040591242
f511,0.04221999999999998,0.15113802208065985
f765,0.042200000000000015,0.12949908039450644
f544,0.042099999999999915,0.11041406915664673
f5,0.042039999999999966,0.14145164737343785
f646,0.04191999999999996,0.14412259765625
f580,0.04186000000000001,0.12753578945875163
f844,0.04167999999999994,0.11897339236378669
f857,0.041600000000000026,0.1524253967475891
f459,0.04144000000000003,0.13666346517205238
f210,0.04142000000000001,0.1353319243168831
f537,0.04128000000000004,0.15073462847828864
f36,0.041200000000000014,0.13514559148192407
f957,0.041080000000000005,0.13654319293260575
f567,0.04090000000000005,0.12171341596126556
f76,0.040879999999999916,0.12912604348659515
f624,0.04083999999999993,0.15119563919663428
f37,0.04071999999999998,0.13642931843161585
f135,0.04057999999999995,0.14044764557480813
f834,0.040559999999999985,0.11835677128076552
f588,0.04038000000000003,0.13492420948743822
f89,0.04036000000000006,0.12288466171264646
f791,0.040200000000000014,0.14859352442145346
f565,0.040080000000000005,0.13979931915163993
f927,0.040080000000000005,0.13637876825928688
f842,0.039899999999999936,0.11524931749939919
f182,0.03983999999999999,0.13620375214099883
f817,0.039779999999999927,0.11072978627562524
f824,0.03964000000000001,0.1576530801486969
f823,0.03955999999999993,0.12766495463967323
f330,0.03943999999999992,0.1299255109381676
f123,0.039339999999999986,0.11126443708062175
f654,0.03919999999999996,0.13553607522487643
f747,0.039120000000000044,0.13661421193718912
f164,0.03911999999999993,0.14217547009468076
f358,0.03892000000000001,0.11350591332674029
f428,0.038919999999999955,0.11928376616716385
f556,0.038860000000000006,0.15518273672461502
f256,0.038860000000000006,0.11384865809321401
f669,0.03867999999999999,0.13447377141714095
f467,0.03864000000000001,0.12260333671331404
f354,0.03839999999999999,0.09303728285193444
f1021,0.03799999999999992,0.13754478602528572
f889,0.037959999999999994,0.1272940800046921
f533,0.037959999999999994,0.11346111485242845
f352,0.037800000000000056,0.11512705705046651
f229,0.0378,0.11755980200767518
f743,0.0378,0.09018603871703147
f206,0.037739999999999996,0.12404080835700039
f446,0.03761999999999999,0.12188755087614059
f348,0.03748000000000001,0.08004707275509831
f1002,0.03747999999999996,0.12306635519146916
f788,0.03732000000000002,0.12294227357625963
f25,0.037319999999999964,0.10702964723587033
f317,0.03727999999999998,0.13125799624443057
f634,0.03726000000000007,0.1303934775352478
f870,0.03725999999999996,0.11000584757089611
f684,0.03722000000000003,0.11636138925909999
f368,0.03712000000000004,0.11663186534404753
f994,0.03708,0.14472873071312906
f978,0.03706000000000009,0.10484425078868868
f849,0.03706000000000004,0.1298123416912556
f593,0.03702000000000005,0.13673434316277502
f846,0.03702000000000005,0.11896416870594026
f1011,0.03701999999999994,0.10789805410742759
f950,0.03699999999999992,0.08338481410264971
f569,0.03698000000000001,0.11136310744762418
f510,0.03689999999999993,0.13928337208509445
f944,0.036860000000000004,0.13177318189024928
f417,0.03684000000000004,0.13307334810018542
f410,0.036819999999999964,0.11599119091629982
f839,0.036660000000000026,0.13258549041867254
f15,0.03665999999999997,0.09918641200900075
f729,0.036639999999999895,0.12507064474105833
f606,0.03647999999999996,0.13130725787162784
f505,0.03646000000000005,0.1172386685240269
f46,0.03639999999999999,0.10473611816287036
f351,0.03637999999999997,0.12605576019406317
f548,0.03637999999999997,0.10995517827749249
f610,0.03632000000000002,0.12050878248453142
f3,0.036280000000000034,0.14019925022125246
f795,0.03605999999999998,0.12592367733716964
f640,0.03604000000000007,0.1209564003002643
f168,0.03600000000000003,0.10454451124668122
f344,0.03598000000000001,0.13090124026060104
f297,0.03592000000000006,0.09839076549410819
f811,0.03591999999999995,0.09610000155329704
f620,0.03583999999999998,0.13313408881187436
f357,0.035760000000000014,0.11099800067424774
f397,0.035739999999999994,0.10974663620948794
f920,0.035739999999999994,0.12882838916659356
f738,0.035699999999999954,0.11950483643889424
f641,0.03536000000000006,0.12302108937144278
f860,0.03533999999999998,0.10577633844494821
f47,0.03532000000000002,0.1371036818480492
f784,0.0351999999999999,0.09987097965359687
f332,0.03518000000000002,0.13791102949976916
f934,0.035140000000000005,0.08895773203730584
f193,0.03503999999999996,0.1101735814893246
f454,0.03503999999999996,0.13167163303494453
f988,0.03495999999999999,0.10523159301400178
f555,0.03492000000000001,0.09839787195920942
f343,0.03491999999999995,0.10220455910205839
f386,0.03488000000000002,0.12033999959588049
f314,0.03487999999999997,0.1074595643031597
f798,0.03476000000000001,0.08594548162937166
f726,0.034680000000000044,0.148236880877018
f290,0.034640000000000004,0.11840042648196218
f1006,0.034459999999999935,0.10831175098657601
f575,0.034420000000000006,0.09786219873189926
f664,0.03432000000000002,0.10805644353270528
f347,0.0343,0.10749841473817828
f154,0.0343,0.1075442678630352
f621,0.03405999999999998,0.11192962788105011
f902,0.034040000000000015,0.13416079132676126
f241,0.03395999999999999,0.12467738250613214
f74,0.03393999999999997,0.10891772075891497
f17,0.03384000000000009,0.07760150435447692
f207,0.03371999999999997,0.07623639516115191
f87,0.03368000000000004,0.10910271907687186
f310,0.03367999999999999,0.08897183158516882
f632,0.033560000000000034,0.08981325949430466
f1003,0.03347999999999998,0.10170178820133206
f112,0.033440000000000025,0.10307040027499198
f311,0.033420000000000005,0.10537292290091511
f577,0.033399999999999985,0.08609536282896992
f752,0.033399999999999985,0.11054089336633682
f918,0.033380000000000076,0.1023589420568943
f900,0.033360000000000056,0.10039952304124833
f221,0.03322000000000003,0.11236407764434811
f616,0.03320000000000001,0.0973583439004421
f422,0.03317999999999999,0.11943328994393348
f961,0.03316000000000002,0.1183333653986454
f931,0.03315999999999997,0.09759961336255076
f835,0.032899999999999985,0.1269278728699684
f998,0.03286,0.09751188752532004
f55,0.03271999999999997,0.10270962710857388
f128,0.03270000000000006,0.09262481650471684
f305,0.03268000000000004,0.1166689455342293
f987,0.03254000000000001,0.10412225518703458
f745,0.032379999999999964,0.08863422771215437
f1023,0.032360000000000055,0.1021956233155727
f292,0.032320000000000015,0.101149834651947
f253,0.032259999999999955,0.10730636492490767
f266,0.032220000000000026,0.11826976448059083
f481,0.03210000000000002,0.11542722756385801
f238,0.03202000000000005,0.1091705921781063
f649,0.03198000000000001,0.07604934900522231
f289,0.03195999999999999,0.09647071625351904
f897,0.03193999999999997,0.1254731755566597
f898,0.031919999999999976,0.08469498177170756
f790,0.03191999999999995,0.09978828207015991
f20,0.03178,0.11375030896067619
f408,0.031779999999999975,0.09729719180345532
f444,0.03177999999999992,0.08023326920032503
f809,0.03176000000000001,0.09209898310661319
f220,0.03176000000000001,0.12472338866472245
f184,0.03173999999999999,0.10320170952796939
f782,0.03167999999999993,0.08158130315542224
f180,0.03164,0.09742520007133483
f1008,0.03156000000000003,0.07747534572005271
f938,0.03155999999999992,0.07646765187859533
f155,0.03151999999999999,0.11085586511373519
f693,0.03149999999999997,0.09661976499319078
f708,0.03145999999999999,0.11795476050019262
f138,0.03138000000000002,0.11592281428456307
f367,0.03128000000000003,0.08745842867493632
f914,0.03128000000000003,0.09913617458820341
f596,0.031240000000000018,0.10040438493132592
f435,0.031159999999999966,0.10995752808690071
f563,0.031140000000000057,0.09225867751479148
f601,0.031120000000000037,0.09124654279708859
f21,0.031120000000000037,0.08352912006616592
f547,0.031100000000000017,0.07062029086470603
f445,0.031040000000000012,0.09019906532526015
f516,0.030980000000000008,0.08792683555722232
f247,0.030959999999999988,0.10473228113770486
f545,0.030959999999999988,0.10487836561083796
f48,0.03092000000000006,0.10144452232360841
f336,0.03076000000000001,0.10965626854896543
f933,0.030620000000000036,0.12195759434461592
f268,0.03051999999999999,0.09226509639620782
f333,0.03049999999999997,0.0979090169751644
f721,0.030480000000000007,0.07690435894846918
f800,0.030439999999999967,0.09033447310209276
f390,0.030220000000000025,0.09679308969259261
f32,0.030220000000000025,0.10405344872236254
f383,0.030200000000000005,0.08910822635173797
f158,0.030200000000000005,0.1103096460187435
f264,0.03014,0.10594388000249866
f951,0.030100000000000016,0.10223202966213227
f421,0.03006000000000003,0.09147961643099782
f878,0.029920000000000002,0.09057078096985816
f272,0.029919999999999947,0.09320209795951842
f942,0.029899999999999982,0.0816731388616562
f872,0.029880000000000018,0.08267867533445358
f71,0.02978000000000003,0.08823075396180148
f574,0.02978000000000003,0.08649439004063607
f679,0.02976000000000001,0.07104742348790165
f361,0.02973999999999999,0.09495428437948224
f617,0.029700000000000004,0.11742641763687135
f642,0.02964,0.08246585136890411
f322,0.02956000000000003,0.08383788799047472
f185,0.029559999999999975,0.09187665876626969
f1014,0.02951999999999999,0.09540298623085021
f584,0.02949999999999997,0.08067586730122564
f1013,0.02949999999999997,0.08483776345610616
f175,0.02942,0.09515351594805718
f116,0.029380000000000017,0.1147662006509304
f653,0.029340000000000033,0.11767589382529257
f673,0.029320000000000013,0.09310210154652597
f847,0.029279999999999973,0.10388063553333284
f770,0.029239999999999988,0.06350102460861205
f105,0.029200000000000004,0.09248999222397804
f318,0.02914,0.07364052789688114
f659,0.029119999999999924,0.1041298163175583
f63,0.029079999999999995,0.08990670884847643
f838,0.02899999999999997,0.07700085787534715
f830,0.028999999999999915,0.10061524385690686
f269,0.028959999999999986,0.07650065442919736
f26,0.02892,0.09620211846470829
f939,0.028859999999999997,0.08361628674149513
f11,0.028839999999999977,0.07835359875679013
f521,0.028799999999999992,0.10606935785889626
f299,0.028780000000000028,0.0728156060099602
f926,0.028760000000000008,0.0829031536090374
f345,0.028720000000000023,0.08067921228885651
f776,0.028720000000000023,0.0745140412580967
f460,0.02864,0.09010442742347718
f968,0.02856000000000003,0.08766611905932423
f108,0.028560000000000002,0.09843520459413532
f217,0.02854000000000001,0.08521512638330456
f730,0.02854000000000001,0.09552417276859285
f288,0.02842,0.07684729220747948
f486,0.02839999999999998,0.0655400421285629
f201,0.02839999999999998,0.08470785916686056
f744,0.028380000000000072,0.08649533451557158
f816,0.028340000000000032,0.09423788976550102
f117,0.028240000000000043,0.10403975893020632
f701,0.028220000000000023,0.09215880194664004
f633,0.028219999999999995,0.08490644550919531
f419,0.028200000000000003,0.07752188022375106
f235,0.028100000000000014,0.08936433801293367
f50,0.028100000000000014,0.08468122648358348
f700,0.028080000000000105,0.10845163658261302
f697,0.028079999999999994,0.08611310282588003
f566,0.02804000000000001,0.07488946392178535
f432,0.027980000000000005,0.09080270000100132
f923,0.027939999999999965,0.0851834836268425
f794,0.02792,0.08244970092773438
f503,0.027919999999999945,0.09409319919586179
f643,0.027919999999999945,0.09009964495182035
f858,0.02789999999999998,0.0818761378610134
f82,0.02784000000000003,0.07512006331324575
f378,0.027839999999999976,0.08288667958498001
f236,0.027700000000000058,0.06678864036440847
f935,0.027700000000000058,0.08145290559053421
f2,0.027660000000000018,0.1027301564383507
f594,0.027639999999999998,0.08080505599260326
f749,0.027639999999999998,0.08261897126197817
f192,0.027619999999999978,0.08882535588145254
f167,0.027619999999999978,0.0904889931535721
